item_id	type	source_line	label	current_destination	history_destination	exact_snapshot
DLR-014	decision_log_row	48	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-015	decision_log_row	49	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-016	decision_log_row	50	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-017	decision_log_row	51	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-018	decision_log_row	52	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-019	decision_log_row	53	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-020	decision_log_row	54	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-021	decision_log_row	55	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-022	decision_log_row	56	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-023	decision_log_row	57	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-024	decision_log_row	58	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-025	decision_log_row	59	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-026	decision_log_row	60	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-027	decision_log_row	61	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-028	decision_log_row	62	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-029	decision_log_row	63	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-030	decision_log_row	64	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-031	decision_log_row	65	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-032	decision_log_row	66	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-033	decision_log_row	67	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-034	decision_log_row	68	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-035	decision_log_row	69	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-036	decision_log_row	70	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-037	decision_log_row	71	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-038	decision_log_row	72	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-039	decision_log_row	73	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-040	decision_log_row	74	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-041	decision_log_row	75	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-042	decision_log_row	76	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-043	decision_log_row	77	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-044	decision_log_row	78	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-045	decision_log_row	79	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-046	decision_log_row	80	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-047	decision_log_row	81	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-048	decision_log_row	82	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-049	decision_log_row	83	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-050	decision_log_row	84	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-051	decision_log_row	85	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-052	decision_log_row	86	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-053	decision_log_row	87	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-054	decision_log_row	88	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-055	decision_log_row	89	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-056	decision_log_row	90	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-057	decision_log_row	91	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-058	decision_log_row	92	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-059	decision_log_row	93	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-060	decision_log_row	94	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-061	decision_log_row	95	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-062	decision_log_row	96	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-063	decision_log_row	97	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-064	decision_log_row	98	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-065	decision_log_row	99	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-066	decision_log_row	100	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-067	decision_log_row	101	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-068	decision_log_row	102	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-069	decision_log_row	103	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-070	decision_log_row	104	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-071	decision_log_row	105	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-072	decision_log_row	106	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-073	decision_log_row	107	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-074	decision_log_row	108	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-075	decision_log_row	109	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-076	decision_log_row	110	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-077	decision_log_row	111	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-078	decision_log_row	112	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-079	decision_log_row	113	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-080	decision_log_row	114	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-081	decision_log_row	115	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-082	decision_log_row	116	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-083	decision_log_row	117	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-084	decision_log_row	118	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-085	decision_log_row	119	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-086	decision_log_row	120	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-087	decision_log_row	121	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-088	decision_log_row	122	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-089	decision_log_row	123	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-090	decision_log_row	124	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-091	decision_log_row	125	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-092	decision_log_row	126	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-093	decision_log_row	127	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-002	decision_canonical_section	131	Vocabulary (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-003	decision_canonical_section	154	PDF library choice — pdfplumber + pypdf (LOCKED 2026-08-09)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-004	decision_canonical_section	166	Orchestration framework decision — LangGraph (LOCKED)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-005	decision_canonical_section	256	Deliverable shape — Requirements-to-Delivery Register (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-006	decision_canonical_section	274	Domain — Software Requirements-to-Delivery (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-007	decision_canonical_section	334	Target user and human reviewer (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-008	decision_canonical_section	348	Human-gate scope (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-009	decision_canonical_section	393	Human-gate actions (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-010	decision_canonical_section	497	One-run scope (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-011	decision_canonical_section	509	Incremental input contract (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-012	decision_canonical_section	651	Declared set — file formats and document types (LOCKED 2026-08-09)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-013	decision_canonical_section	713	Document types — the declared list (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-014	decision_canonical_section	758	Register shape (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-015	decision_canonical_section	885	Citations (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-016	decision_canonical_section	915	Export, audit history, and unchanged proof (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-017	decision_canonical_section	995	Pipeline stages (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-018	decision_canonical_section	1055	Extract — how documents are read (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-019	decision_canonical_section	1125	Prompt-injection resistance (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-020	decision_canonical_section	1194	Match and Examine (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-021	decision_canonical_section	1310	Model provider and client (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-022	decision_canonical_section	1360	Failure and retry behaviour (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-023	decision_canonical_section	1468	Logging, timing, and cost (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-024	decision_canonical_section	1520	Run state and checkpoints (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-025	decision_canonical_section	1672	Run identity and concurrency (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-026	decision_canonical_section	1822	Review re-entry after a finished review (LOCKED 2026-08-13)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-027	decision_canonical_section	1890	Extract-call idempotency (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-028	decision_canonical_section	1936	Database tables — slice 1 (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-029	decision_canonical_section	1965	API — slice 1 (LOCKED 2026-08-11)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-030	decision_canonical_section	2126	MCP server — tool surface (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-031	decision_canonical_section	2183	MCP server — placement and validation (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-032	decision_canonical_section	2247	Requirement identity — how one row is formed (LOCKED 2026-08-09, v1 starting point)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-033	decision_canonical_section	2278	Requirement granularity — how big is one row (LOCKED 2026-08-09, v1 starting point)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-034	decision_canonical_section	2309	Rules and playbook (LOCKED 2026-08-09)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-035	decision_canonical_section	2378	Findings storage and run configuration (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-036	decision_canonical_section	2466	Repository layout (LOCKED 2026-08-09)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-037	decision_canonical_section	2524	Review interface — scope (LOCKED 2026-08-09)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-038	decision_canonical_section	2631	Build order — vertical slices (LOCKED 2026-08-09)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-039	decision_canonical_section	2702	Brief acceptance contract (LOCKED 2026-08-13)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-040	decision_canonical_section	2867	Slice 1 automated test strategy (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-041	decision_canonical_section	2972	One-command setup and test plan (LOCKED 2026-08-12)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DHS-042	decision_canonical_section	3016	Network bind (LOCKED 2026-08-13)	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
PHS-001	progress_section	6	Where things stand	PROGRESS.md current dashboard	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PHS-002	progress_section	36	Planning roadmap	PROGRESS.md current dashboard	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PHS-003	progress_section	99	Assumptions	PROGRESS.md current dashboard	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PA-001	progress_assumption	106	|	PROGRESS.md Active assumptions	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PA-002	progress_assumption	107	|	PROGRESS.md Active assumptions	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PA-003	progress_assumption	108	|	PROGRESS.md Active assumptions	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PA-004	progress_assumption	109	|	PROGRESS.md Active assumptions	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PA-005	progress_assumption	110	|	PROGRESS.md Active assumptions	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PA-006	progress_assumption	111	|	PROGRESS.md Active assumptions	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PHS-004	progress_section	113	Blockers	PROGRESS.md current dashboard	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PB-001	progress_blocker	115	The audit table cannot represent an attachment event.	PROGRESS.md Active blockers	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PB-002	progress_blocker	124	The document-type buckets are not enforced anywhere.	PROGRESS.md Active blockers	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PB-003	progress_blocker	130	The broad worktree bind mount stays for local development, on purpose.	PROGRESS.md Active blockers	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PHS-005	progress_section	139	Log	PROGRESS.md current dashboard	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-001	progress_log_entry	143	2026-08-13 — Slice 1b built, reviewed, and fixed; handoff transcribed	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-002	progress_log_entry	160	2026-08-13 — Handoff design locks transcribed into the canonical documents	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-003	progress_log_entry	172	2026-08-12 — Phase 4 slice 1 proof and boilerplate planned	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-004	progress_log_entry	179	2026-08-12 — Remaining Phase 3 architecture locked	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-005	progress_log_entry	190	2026-08-12 — All 27 review findings resolved; three Phase 3 locks recorded	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-006	progress_log_entry	208	2026-08-11 — Two independent documentation reviews run; 27 findings recorded	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-007	progress_log_entry	216	2026-08-11 — Phase 3 architecture: pipeline, state, run identity, database tables, and API locked	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-008	progress_log_entry	228	2026-08-11 — Vocabulary locked; consistency-audit backlog cleared	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-009	progress_log_entry	251	2026-08-11 — Phase 1 and Phase 2 closed	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
PL-010	progress_log_entry	263	2026-08-11 — Human-gate scope locked	documentation/progress-history.md	documentation/progress-history.md	documentation/history/PROGRESS-pre-compaction-2026-08-13-2e14c91.md
